99944,99161,3
99944,99077,1
99944,99068,2
99944,99033,2
99944,9851,1.1667
99944,981,2
99944,97789,2
99944,97572,1
99944,9755,0.6667
99944,97423,3
99944,97403,3
99944,97369,3
99944,970,0.6667
99944,96461,3
99944,96309,3
99944,96226,1.1429
99944,96205,1
99944,9608,0.3333
99944,95866,1
99944,95571,1
99944,94761,1
99944,94323,1
99944,94290,2
99944,94038,0.8929
99944,93891,0.5
99944,9332,1
99944,93309,1
99944,92541,1
99944,92356,1
99944,92322,1
99944,92155,2
99944,91986,2
99944,91904,3
99944,91850,1.5
99944,90936,2
99944,907,2.25
99944,90547,1
99944,8999,1
99944,89906,0.5
99944,8932,3
99944,89224,1.75
99944,89036,3
99944,8784,1
99944,87586,1
99944,87539,2
99944,87282,4
99944,8720,0.1429
99944,85090,3
99944,8490,3
99944,84883,1
99944,8363,2
99944,83022,2
99944,82264,2
99944,81336,0.5
99944,81078,3
99944,80741,2
99944,8054,0.8
99944,80289,1
99944,80163,2
99944,7920,1.5
99944,79158,3
99944,7891,2
99944,7866,3
99944,77111,2
99944,76372,0.4032
99944,75743,3
99944,74980,0.5
99944,7494,1
99944,74330,0.5
99944,743,0.2041
99944,74239,1
99944,73669,1
99944,73501,1
99944,7228,3
99944,72186,2
99944,71998,2
99944,7184,1
99944,71641,2
99944,70253,1
99944,69912,1
99944,6931,0.5
99944,68600,1
99944,67618,2
99944,67524,1
99944,66774,1
99944,66662,1
99944,65933,0.5
99944,65883,2
99944,65822,6
99944,65748,2
99944,6570,3
99944,65631,1
99944,65442,2
99944,6514,1
99944,65109,2
99944,64832,1
99944,6390,0.8889
99944,63034,3
99944,62755,2
99944,62692,1
99944,62427,3
99944,62095,1
99944,61600,1
99944,6137,0.1111
99944,61322,1
99944,60825,1.5
99944,60688,1
99944,60583,3
99944,60236,1
99944,5997,3.25
99944,5964,1
99944,59297,1.5
99944,58947,1
99944,58659,1
99944,58283,0.5
99944,58096,0.5
99944,578,0.25
99944,5767,0.75
99944,5746,2
99944,57436,2
99944,57384,2
99944,56949,1
99944,56762,2
99944,5638,1
99944,56345,0.5
99944,56279,2
99944,5620,2.1667
99944,56107,1
99944,56014,2
99944,56010,1
99944,55930,0.5
99944,55665,2
99944,5556,0.5
99944,55128,1
99944,549,1.75
99944,53791,2
99944,53715,2
99944,53509,1
99944,53359,1
99944,53277,2
99944,5319,0.6667
99944,5288,1.3333
99944,52226,4
99944,51565,2
99944,51507,2
99944,50306,1
99944,4968,0.75
99944,49542,0.6667
99944,49108,2
99944,49006,1
99944,4882,1.5
99944,48819,1
99944,47380,1
99944,47288,1
99944,47150,0.5
99944,46945,2
99944,46928,2
99944,46854,2.6667
99944,46821,2
99944,46722,1
99944,46555,3
99944,46553,2
99944,46460,2
99944,46208,1
99944,46111,0.6667
99944,45700,3
99944,453,0.25
99944,45198,3
99944,45014,2
99944,44936,2
99944,44917,2
99944,44741,2
99944,4467,1.0333
99944,44040,2
99944,43873,2
99944,43810,2
99944,43803,1
99944,43345,1.1667
99944,43319,1.5
99944,4289,3
99944,42865,2
99944,41594,1
99944,4157,0.4286
99944,4152,0.4286
99944,41345,3
99944,40955,1
99944,4068,1
99944,40446,2
99944,40423,2
99944,4015,0.8929
99944,40073,0.5
99944,39958,2
99944,3986,0.8333
99944,39807,3
99944,39205,1
99944,39130,1
99944,39073,0.6667
99944,38763,2
99944,38670,1
99944,38012,0.5
99944,37817,0.5
99944,3777,1
99944,37422,1
99944,37235,0.5
99944,37067,2
99944,36921,1
99944,36411,0.5
99944,36384,1
99944,36024,1
99944,35983,1
99944,35966,1
99944,35760,2
99944,34891,1
99944,34606,3
99944,34600,1
99944,33846,1
99944,33787,2
99944,3357,1
99944,33361,1
99944,33271,1
99944,3319,0.1795
99944,33164,1
99944,33153,3
99944,33010,2
99944,32037,1
99944,31446,1
99944,31381,0.5
99944,3096,0.2
99944,3071,2
99944,3067,1
99944,30597,2
99944,29722,0.6667
99944,29605,1
99944,29258,2
99944,29229,0.5
99944,29141,3
99944,28735,2
99944,28713,1
99944,2828,0.1818
99944,28090,3
99944,28088,0.5
99944,27800,2
99944,27796,1
99944,27685,3
99944,27378,1.1429
99944,27329,2
99944,27175,1
99944,27067,1
99944,26720,2.5
99944,26711,1
99944,2666,0.5
99944,26318,2
99944,26303,4
99944,26119,1
99944,26018,2
99944,26011,2
99944,2536,0.4737
99944,25352,1
99944,24719,1
99944,2438,0.4286
99944,24309,2
99944,24279,2
99944,24188,2
99944,24125,1
99944,23886,1
99944,2383,0.3889
99944,23828,2
99944,23765,1.6667
99944,23625,2
99944,23578,1
99944,23435,0.25
99944,23045,0.5
99944,22699,1
99944,22374,1
99944,21504,1.5
99944,21095,1
99944,20744,0.5
99944,20573,1.5
99944,20500,0.5
99944,20404,2
99944,20320,5
99944,20207,2
99944,19606,1
99944,19430,1
99944,1906,0.9
99944,18369,2
99944,18240,0.3333
99944,18153,0.2857
99944,17812,1
99944,17572,1.5
99944,17191,2
99944,17166,0.4
99944,17103,1
99944,17087,3
99944,16617,0.8333
99944,16558,3
99944,16500,3.5
99944,16203,0.2857
99944,16111,2
99944,16059,3
99944,16008,0.6667
99944,15848,1.25
99944,15672,2
99944,15623,1
99944,15575,3
99944,14866,1.5455
99944,14528,1
99944,14430,2.2
99944,14301,1
99944,14273,0.4615
99944,1426,0.6
99944,14183,1
99944,14045,1.5
99944,14036,1.3333
99944,13971,1
99944,13620,2
99944,13402,1.5
99944,133830,3
99944,133827,2
99944,133448,1
99944,13332,1
99944,131488,2
99944,131358,1.25
99944,131134,2
99944,130751,3
99944,13074,0.6667
99944,13060,1
99944,129820,3
99944,129254,2
99944,12857,1
99944,128441,3
99944,128387,1
99944,125855,1
99944,125292,5
99944,125047,1
99944,124881,2
99944,123246,2
99944,123198,1
99944,122496,1
99944,122016,2
99944,121634,1
99944,121383,1
99944,121212,2
99944,121169,2
99944,120783,1
99944,120672,3
99944,120360,2
99944,120357,2
99944,120235,1
99944,11983,3
99944,11793,0.4
99944,117675,1
99944,117293,1
99944,116898,1
99944,116177,3
99944,1161,0.8889
99944,115549,1
99944,115261,1
99944,115248,2
99944,114629,3
99944,114353,1
99944,114185,1
99944,113797,2
99944,113675,2
99944,113130,2
99944,11309,1
99944,11194,0.3333
99944,111159,0.3333
99944,110618,3
99944,109807,3
99944,109563,1
99944,109278,2
99944,109182,1
99944,108855,1
99944,10847,0.1667
99944,10752,2
99944,106800,1
99944,106536,2
99944,106103,1
